"Rk","Pk","Draft Year","Player ID","Team","Player Name","College","TOTG","TOTMP","TOTFG","TOTFGA","TOT3P","TOT3PA","TOTFT","TOTFTA","TOTORB","TRB","TOTAST","TOTSTL","TOTBLK","TOTTOV","TOTPF","TOTPTS","FG%","3P%","FT%","MPPG","PTSPG","TRBPG","ASTPG"
"17","17","2003","200317","DAL","Josh Howard","Wake Forest","127","3536","645","1335","109","309","362","511","351","836","239","215","143","275","373","1761","0.483","0.353","0.708","27.8","13.9","6.6","1.9"
"18","18","2003","200318","CLE","Jason Kapono","UCLA","127","4313","699","1491","317","710","380","458","191","647","265","108","8","286","294","2095","0.469","0.446","0.83","34","16.5","5.1","2.1"
"19","19","2003","200319","LAL","Luke Walton","Arizona","129","3514","420","985","65","229","274","400","195","662","582","151","58","336","236","1179","0.426","0.284","0.685","27.2","9.1","5.1","4.5"
"20","20","2003","200320","MIA","Jerome Beasley","University of North Dakota","123","1785","754","1462","47","100","333","465","","793","59","44","34","103","122","1888","0.516","0.47","0.716","30.8","15.3","6.4","0.5"
"21","21","2003","200321","ATL","Travis Hansen","BYU","117","2356","483","1101","105","277","413","541","119","574","262","63","37","169","243","1484","0.439","0.379","0.763","27.4","12.7","4.9","2.2"
"22","22","2003","200322","WAS","Steve Blake","Maryland","138","4313","374","932","182","478","209","271","84","465","972","234","38","453","290","1139","0.401","0.381","0.771","31.3","8.3","3.4","7"
"23","23","2003","200323","GSW","Derrick Zimmerman","Mississippi State","127","3302","317","665","38","142","198","330","103","418","513","205","89","331","273","870","0.477","0.268","0.6","26","6.9","3.3","4"
"24","24","2003","200324","SEA","Willie Green","Detroit Mercy","124","3721","649","1409","120","341","361","477","129","519","270","117","35","246","290","1779","0.461","0.352","0.757","30","14.3","4.2","2.2"
"25","25","2003","200325","MIL","Keith Bogans","Kentucky","135","3913","671","1535","254","743","327","475","201","552","314","154","15","304","264","1923","0.437","0.342","0.688","29","14.2","4.1","2.3"
"26","26","2003","200326","CHI","Matt Bonner","Florida","131","3281","580","1154","165","418","245","331","268","778","158","94","64","176","260","1570","0.503","0.395","0.74","25","12","5.9","1.2"
"27","27","2003","200327","UTA","Mo Williams","Alabama","64","2159","283","698","90","306","182","215","63","250","271","95","9","189","152","838","0.405","0.294","0.847","33.7","13.1","3.9","4.2"
"28","28","2003","200328","IND","James Jones","Miami (FL)","122","3351","464","1090","124","324","304","366","212","606","142","137","192","188","262","1356","0.426","0.383","0.831","27.5","11.1","5","1.2"
"29","29","2003","200329","NJN","Kyle Korver","Creighton","128","3540","559","1184","371","819","312","350","171","664","294","172","58","231","297","1801","0.472","0.453","0.891","27.7","14.1","5.2","2.3"
"30","30","2003","200330","BOS","Brandon Hunter","Ohio University","119","3881","706","1385","39","115","561","923","314","1103","252","95","87","402","313","2012","0.51","0.339","0.608","32.6","16.9","9.3","2.1"
